"time_month","variable","value","year","month","date","lbl","plbl","nlbl"
"2024m5","Supply-driven inflation",1.03999996185303,"2024","5",2024-05-01,,,
"2024m6","Supply-driven inflation",1.08000004291534,"2024","6",2024-06-01,,,
"2024m7","Supply-driven inflation",1.13999998569489,"2024","7",2024-07-01,,,
"2024m8","Supply-driven inflation",1.20000004768372,"2024","8",2024-08-01,,,
"2024m9","Supply-driven inflation",1.08000004291534,"2024","9",2024-09-01,,,
"2025m1","Supply-driven inflation",0.970000028610229,"2025","1",2025-01-01,,,
"2025m10","Supply-driven inflation",0.839999973773956,"2025","10",2025-10-01,"0.8","0.8",
"2025m11","Supply-driven inflation",0.889999985694885,"2025","11",2025-11-01,"0.9","0.9",
"2025m2","Supply-driven inflation",0.920000016689301,"2025","2",2025-02-01,,,
"2025m3","Supply-driven inflation",0.860000014305115,"2025","3",2025-03-01,,,
"2025m4","Supply-driven inflation",0.810000002384186,"2025","4",2025-04-01,,,
"2025m5","Supply-driven inflation",1.00999999046326,"2025","5",2025-05-01,,,
"2025m6","Supply-driven inflation",0.970000028610229,"2025","6",2025-06-01,,,
"2025m7","Supply-driven inflation",0.990000009536743,"2025","7",2025-07-01,,,
"2025m8","Supply-driven inflation",0.860000014305115,"2025","8",2025-08-01,,,
"2025m9","Supply-driven inflation",0.930000007152557,"2025","9",2025-09-01,,,
